name,countries,regions,localities,status,has_downhill,has_nordic,downhill_distance_km,nordic_distance_km,vertical_m,min_elevation_m,max_elevation_m,lift_count,surface_lifts_count,run_convention,wikidata_id,websites,openskimap,id,geometry,lat,lng,sources
,Russia,Saint Petersburg,Saint Petersburg,operating,no,yes,,26,46,29,75,,,europe,,,https://openskimap.org/?obj=017b3d20-1f76-48b5-aeeb-97b09392675d,017b3d20-1f76-48b5-aeeb-97b09392675d,Point,60.212341,29.752025,
,Finland,Southern Ostrobothnia,,operating,no,yes,,1,8,84,92,,,europe,,,https://openskimap.org/?obj=017b8efe-8eff-4f2b-931a-df2db8223309,017b8efe-8eff-4f2b-931a-df2db8223309,Point,63.010190,23.474847,
,Switzerland,Graubunden,Lü,operating,no,yes,,2,26,1908,1934,,,europe,,,https://openskimap.org/?obj=01835d2e-194f-4c8f-a62a-c722937afe3d,01835d2e-194f-4c8f-a62a-c722937afe3d,Point,46.623708,10.366054,
,Germany,Baden-Württemberg,Leibertingen,operating,yes,no,0,,34,767,800,1,1,europe,,,https://openskimap.org/?obj=018eba48-3e16-41de-b110-83bbdf83bcc2,018eba48-3e16-41de-b110-83bbdf83bcc2,Point,48.062103,9.056129,
Tarscher Alm,Italy,Bolzano/Bozen,,abandoned,yes,no,,,756,1172,1928,1,,europe,,,https://openskimap.org/?obj=01967782c73c69c93f812b8d47b31ec1da87cb1b,01967782c73c69c93f812b8d47b31ec1da87cb1b,Point,46.593084,10.892940,https://www.skimap.org/SkiAreas/view/15210
,Russia,Ulyanovsk,,operating,no,yes,,5,66,163,229,,,europe,,,https://openskimap.org/?obj=0197d0e6-c11d-460b-969f-fcd8523af8f8,0197d0e6-c11d-460b-969f-fcd8523af8f8,Point,53.835453,46.324215,
,Norway,Trøndelag,,operating,no,yes,,5,279,116,394,,,europe,,,https://openskimap.org/?obj=01990680-3fba-4bb6-b442-178159eb9ba8,01990680-3fba-4bb6-b442-178159eb9ba8,Point,63.901032,10.403883,
Avantura park,Serbia,Zlatiborski upravni okrug,,operating,yes,no,2,,522,965,1488,2,,europe,,,https://openskimap.org/?obj=01a249ab7e64df591e256b239313eac6cb67f441,01a249ab7e64df591e256b239313eac6cb67f441,Point,43.723244,19.698239,https://www.openstreetmap.org/relation/13472638
Station Petit Chic-Chocs,Canada,Quebec,Cap-Chat,operating,yes,no,3,,153,50,203,1,1,north_america,,https://www.centrepleinaircap-chat.com/activit%C3%A9s,https://openskimap.org/?obj=01a28070e28a5e8564ec9cff31bd339b4ebc8278,01a28070e28a5e8564ec9cff31bd339b4ebc8278,Polygon,49.049590,-66.695011,https://www.openstreetmap.org/way/1352985922 https://www.skimap.org/SkiAreas/view/2243
,Czechia,Olomouc,,operating,yes,no,0,,95,545,641,1,1,europe,,,https://openskimap.org/?obj=01a60daf-9e62-4d8c-8847-85aa7a0875fc,01a60daf-9e62-4d8c-8847-85aa7a0875fc,Point,50.132295,17.015621,
Caviahue,Argentina,Neuquen,,operating,yes,no,13,,429,1685,2114,11,7,europe,,https://www.caviahue.com/invierno,https://openskimap.org/?obj=01b54e4e5ba0cc28ab50515e9fb34754ba3d44d1,01b54e4e5ba0cc28ab50515e9fb34754ba3d44d1,Polygon,-37.856610,-71.094045,https://www.openstreetmap.org/way/1362374789
热雪奇迹,China,Guangdong,,operating,yes,no,0,,4,11,15,,,north_america,,http://guangzhoupark.sunacctg.com/,https://openskimap.org/?obj=01bacfa41a1f09093ef8c38074a011f795ccc32c,01bacfa41a1f09093ef8c38074a011f795ccc32c,Polygon,23.429953,113.226140,https://www.openstreetmap.org/relation/11612375 https://www.skimap.org/SkiAreas/view/14020
"Шерегеш, Sheregesh",Russia,Kemerovo,,operating,yes,no,65,,877,582,1460,23,8,europe,,https://www.sheregesh.su/,https://openskimap.org/?obj=01bb562d07c3063c474c861a253f6644550c977c,01bb562d07c3063c474c861a253f6644550c977c,Polygon,52.948600,87.923868,https://www.openstreetmap.org/way/1266093626 https://www.skimap.org/SkiAreas/view/1935
Chicopee,Canada,Ontario,Kitchener,operating,yes,no,3,,55,321,376,8,5,north_america,,https://www.discoverchicopee.com/,https://openskimap.org/?obj=01c4587c49e1b4ff2cea333fbd4766b2d8b8f585,01c4587c49e1b4ff2cea333fbd4766b2d8b8f585,Point,43.434470,-80.420279,https://www.openstreetmap.org/relation/3252880 https://www.skimap.org/SkiAreas/view/145
,Poland,Lesser Poland Voivodeship,"Nowy Targ;Szaflary",operating,no,yes,,19,68,588,656,,,europe,,,https://openskimap.org/?obj=01c913d3-adac-41af-b392-f2c23ba9f80d,01c913d3-adac-41af-b392-f2c23ba9f80d,Point,49.456551,20.044312,
Hinterfeldlift Mösern,Austria,Tyrol,,operating,yes,no,0,,31,1235,1266,1,1,europe,,,https://openskimap.org/?obj=01caecb7e613ccd38645dfaa350daf70ff899b8f,01caecb7e613ccd38645dfaa350daf70ff899b8f,Point,47.311477,11.152311,https://www.openstreetmap.org/relation/14295880
Challenge Mountain (Formerly Walloon Hills),United States,Michigan,,abandoned,yes,no,,,,,,,,north_america,,,https://openskimap.org/?obj=01ce8713855d7d783e3e6bd861127453e78a1063,01ce8713855d7d783e3e6bd861127453e78a1063,Point,45.236610,-84.881683,https://www.skimap.org/SkiAreas/view/3271
Yamada Onsen Kids Snow Park (山田温泉キッズスノーパーク),Japan,Nagano Prefecture,,operating,yes,no,,,,,,,,japan,,https://shinshu-takayama-onsenkyo.com/facility/kids-ski-park/,https://openskimap.org/?obj=01d40a4ba33f4ee3c9d8ebdd0e11cba7c886b4a2,01d40a4ba33f4ee3c9d8ebdd0e11cba7c886b4a2,Point,36.675314,138.427936,https://www.skimap.org/SkiAreas/view/1684
